	measurement_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
79	80	572.91	574.86	552.3	571.51	2016-08-20T00:00:00.0000000Z	2016-08-19T00:00:00.0000000Z	3261	4652.00521466	BTC
80	81	577.88	581.02	568.52	572.98	2016-08-21T00:00:00.0000000Z	2016-08-20T00:00:00.0000000Z	1968	2431.78684382	BTC
81	82	577.55	583.99	576.01	577.7	2016-08-22T00:00:00.0000000Z	2016-08-21T00:00:00.0000000Z	1961	1139.76224273	BTC
82	83	582.78	585.95	572.5	577.55	2016-08-23T00:00:00.0000000Z	2016-08-22T00:00:00.0000000Z	3164	5086.06256577	BTC
83	84	580.23	584.99	576.0	582.78	2016-08-24T00:00:00.0000000Z	2016-08-23T00:00:00.0000000Z	3064	4182.04589939	BTC
84	85	577.58	582.1	575.4	580.27	2016-08-25T00:00:00.0000000Z	2016-08-24T00:00:00.0000000Z	2734	2991.01460758	BTC
85	86	575.71	578.75	571.16	577.65	2016-08-26T00:00:00.0000000Z	2016-08-25T00:00:00.0000000Z	3201	4231.40701036	BTC
86	87	578.78	582.46	574.1	575.75	2016-08-27T00:00:00.0000000Z	2016-08-26T00:00:00.0000000Z	2740	3300.29774328	BTC
87	88	568.31	579.09	564.81	577.92	2016-08-28T00:00:00.0000000Z	2016-08-27T00:00:00.0000000Z	2183	2702.58036182	BTC
88	89	573.2	573.34	566.8	567.51	2016-08-29T00:00:00.0000000Z	2016-08-28T00:00:00.0000000Z	1480	1034.07669959	BTC
89	90	571.5	575.0	568.6	573.2	2016-08-30T00:00:00.0000000Z	2016-08-29T00:00:00.0000000Z	2431	2333.00891707	BTC
90	91	575.91	576.5	568.55	570.74	2016-08-31T00:00:00.0000000Z	2016-08-30T00:00:00.0000000Z	3430	4439.35420543	BTC
91	92	570.75	576.49	568.4	575.88	2016-09-01T00:00:00.0000000Z	2016-08-31T00:00:00.0000000Z	3309	3917.82520705	BTC
92	93	571.05	572.86	566.86	570.75	2016-09-02T00:00:00.0000000Z	2016-09-01T00:00:00.0000000Z	3773	2833.21048959	BTC
93	94	572.0	574.2	567.03	571.05	2016-09-03T00:00:00.0000000Z	2016-09-02T00:00:00.0000000Z	2004	2996.65467508	BTC
94	95	595.01	598.64	569.01	572.0	2016-09-04T00:00:00.0000000Z	2016-09-03T00:00:00.0000000Z	3977	4645.77734019	BTC
95	96	603.72	609.05	590.88	596.25	2016-09-05T00:00:00.0000000Z	2016-09-04T00:00:00.0000000Z	4174	3951.19879148	BTC
96	97	603.48	607.31	592.46	605.72	2016-09-06T00:00:00.0000000Z	2016-09-05T00:00:00.0000000Z	4692	3838.1094176	BTC
97	98	608.16	609.74	601.0	604.98	2016-09-07T00:00:00.0000000Z	2016-09-06T00:00:00.0000000Z	2787	4038.33754573	BTC
98	99	615.16	615.92	604.7	608.93	2016-09-08T00:00:00.0000000Z	2016-09-07T00:00:00.0000000Z	3531	4502.71072652	BTC
99	100	625.67	628.98	611.66	614.44	2016-09-09T00:00:00.0000000Z	2016-09-08T00:00:00.0000000Z	4029	4354.95251639	BTC
