	name	price_high	price_low	price_open	time_period_start	time_period_end	volume_traded	trades_count
175	BTC	573.69	554.9	568.76	2016-08-15T00:00:00.0000000Z	2016-08-16T00:00:00.0000000Z	4633.74558455	3645
176	BTC	579.8	563.0	564.2	2016-08-16T00:00:00.0000000Z	2016-08-17T00:00:00.0000000Z	4837.18871903	3363
177	BTC	577.86	566.02	574.95	2016-08-17T00:00:00.0000000Z	2016-08-18T00:00:00.0000000Z	4107.0085286	4114
178	BTC	575.87	568.79	570.91	2016-08-18T00:00:00.0000000Z	2016-08-19T00:00:00.0000000Z	3967.28412511	3421
179	BTC	574.86	552.3	571.51	2016-08-19T00:00:00.0000000Z	2016-08-20T00:00:00.0000000Z	4652.00521466	3261
180	BTC	581.02	568.52	572.98	2016-08-20T00:00:00.0000000Z	2016-08-21T00:00:00.0000000Z	2431.78684382	1968
181	BTC	583.99	576.01	577.7	2016-08-21T00:00:00.0000000Z	2016-08-22T00:00:00.0000000Z	1139.76224273	1961
182	BTC	585.95	572.5	577.55	2016-08-22T00:00:00.0000000Z	2016-08-23T00:00:00.0000000Z	5086.06256577	3164
183	BTC	584.99	576.0	582.78	2016-08-23T00:00:00.0000000Z	2016-08-24T00:00:00.0000000Z	4182.04589939	3064
184	BTC	582.1	575.4	580.27	2016-08-24T00:00:00.0000000Z	2016-08-25T00:00:00.0000000Z	2991.01460758	2734
185	BTC	578.75	571.16	577.65	2016-08-25T00:00:00.0000000Z	2016-08-26T00:00:00.0000000Z	4231.40701036	3201
186	BTC	582.46	574.1	575.75	2016-08-26T00:00:00.0000000Z	2016-08-27T00:00:00.0000000Z	3300.29774328	2740
187	BTC	579.09	564.81	577.92	2016-08-27T00:00:00.0000000Z	2016-08-28T00:00:00.0000000Z	2702.58036182	2183
188	BTC	573.34	566.8	567.51	2016-08-28T00:00:00.0000000Z	2016-08-29T00:00:00.0000000Z	1034.07669959	1480
189	BTC	575.0	568.6	573.2	2016-08-29T00:00:00.0000000Z	2016-08-30T00:00:00.0000000Z	2333.00891707	2431
190	BTC	576.5	568.55	570.74	2016-08-30T00:00:00.0000000Z	2016-08-31T00:00:00.0000000Z	4439.35420543	3430
191	BTC	576.49	568.4	575.88	2016-08-31T00:00:00.0000000Z	2016-09-01T00:00:00.0000000Z	3917.82520705	3309
